"Estimated resident population by local government area (LGA), Queensland, 1991 to 2016pr",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Estimated resident population at 30 June,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012pr,2013pr,2014pr,2015pr,2016pr
,— number — ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Flinders (S),"2,666","2,575","2,492","2,382","2,271","2,215","2,170","2,115","2,096","2,062","2,050","2,016","2,017","1,946","1,897","1,844","1,842","1,837","1,834","1,834","1,840","1,792","1,749","1,704","1,635","1,569"
Fraser Coast (R),"56,983","59,233","62,328","65,150","66,978","68,467","69,462","70,525","71,200","71,766","72,781","74,299","77,048","80,111","83,010","86,117","89,109","92,018","94,813","96,618","97,661","99,026","100,291","101,381","102,202","102,953"
Gladstone (R),"38,974","39,641","40,823","41,867","42,814","43,757","44,213","44,566","44,804","45,033","45,479","46,592","47,860","49,517","50,587","52,051","53,587","55,425","57,046","57,697","59,461","60,582","62,270","63,561","63,963","63,288"
Gold Coast (C),"253,318","265,613","278,199","291,744","308,423","319,901","332,222","343,114","354,677","367,187","379,679","394,631","410,545","424,005","436,671","450,075","466,940","481,569","495,835","506,135","515,202","528,712","541,356","551,985","563,356","576,918"
Goondiwindi (R),"10,224","10,235","10,235","10,067","9,914","9,810","9,839","9,920","9,977","10,087","10,219","10,297","10,326","10,306","10,297","10,364","10,468","10,605","10,722","10,823","10,900","10,950","10,962","10,922","10,862","10,837"
Gympie (R),"32,361","33,295","34,318","35,418","36,204","36,831","37,237","37,448","37,578","37,744","38,062","38,549","39,389","40,469","41,682","42,628","43,634","44,700","45,774","46,366","46,837","47,784","48,478","49,096","49,550","50,292"
Hinchinbrook (S),"13,367","13,346","13,293","13,232","13,186","13,250","13,070","12,851","12,618","12,385","12,172","12,046","12,004","11,851","11,814","11,810","11,822","11,826","11,829","11,808","11,817","11,769","11,622","11,432","11,207","10,990"
Hope Vale (S),730,748,765,776,787,816,826,845,853,867,875,867,850,831,824,812,850,897,955,"1,011","1,052","1,049","1,028","1,005",973,967
Ipswich (C),"113,230","114,592","116,577","118,759","119,894","121,173","121,720","121,824","121,745","122,827","123,934","126,116","128,646","132,119","137,324","141,986","148,133","154,428","161,664","167,134","172,200","178,237","183,705","189,312","194,438","200,123"
Isaac (R),"22,400","22,162","21,887","21,240","20,628","20,397","20,138","19,712","19,067","18,617","18,169","18,590","19,050","19,231","19,785","20,372","21,018","21,632","22,237","22,658","23,188","23,350","23,294","22,809","22,206","21,563"
Kowanyama (S),971,974,979,984,986,989,989,991,989,"1,000",999,"1,012","1,016","1,030","1,048","1,063","1,075","1,079","1,088","1,103","1,112","1,078","1,042","1,015",997,984
Livingstone (S),"18,042","18,860","20,138","21,242","22,174","22,961","23,613","24,274","24,931","25,203","25,863","26,488","27,280","28,159","28,755","29,543","30,629","31,407","32,474","32,906","33,394","34,404","35,322","36,146","36,691","37,055"
Lockhart River (S),508,521,533,540,548,568,583,598,612,625,638,623,607,591,584,578,573,555,554,552,520,571,620,669,696,747
Lockyer Valley (R),"22,897","23,391","24,556","25,773","26,535","27,242","27,508","27,698","27,949","28,148","28,213","28,813","29,078","29,485","30,524","31,305","32,050","32,974","34,333","35,110","35,880","36,548","37,678","38,377","38,881","39,486"
Logan (C),"195,026","200,700","206,478","212,114","218,324","222,655","225,413","226,329","228,129","231,224","234,351","239,515","244,076","249,161","253,905","259,116","264,410","270,628","277,372","282,189","287,474","293,860","300,272","304,875","308,998","313,785"
Longreach (R),"4,773","4,696","4,660","4,621","4,500","4,441","4,440","4,445","4,462","4,492","4,537","4,545","4,447","4,379","4,284","4,174","4,174","4,193","4,219","4,250","4,296","4,217","4,104","4,029","3,815","3,727"
Mackay (R),"76,472","78,260","79,625","81,326","82,929","85,105","86,024","86,719","87,548","88,379","89,337","91,554","93,642","96,285","99,901","103,567","106,026","108,644","111,455","113,669","115,960","117,603","119,076","119,272","118,771","117,703"
Mapoon (S),163,166,170,173,175,182,185,193,195,202,205,213,224,232,239,247,254,262,271,276,281,291,295,305,307,322
Maranoa (R),"13,318","13,296","13,177","12,952","12,623","12,418","12,335","12,289","12,267","12,266","12,368","12,383","12,436","12,461","12,501","12,612","12,770","12,952","13,113","13,286","13,437","13,426","13,515","13,443","13,305","12,928"
Mareeba (S),"17,032","17,341","17,700","17,798","17,851","18,065","18,065","18,161","18,138","18,113","18,125","18,236","18,307","18,353","18,553","18,753","19,195","19,737","20,177","20,495","20,745","20,979","21,428","21,624","21,925","22,157"
McKinlay (S),"1,219","1,213","1,205","1,173","1,156","1,147","1,151","1,117","1,085","1,058","1,045","1,033",993,973,951,922,963,994,"1,011","1,044","1,085","1,039",989,939,872,810
Moreton Bay (R),"209,806","218,929","228,475","237,458","246,000","253,273","259,386","265,260","270,994","276,737","283,062","291,543","302,027","312,887","323,085","331,713","344,545","357,499","370,447","381,357","390,051","401,031","410,317","419,398","428,542","438,313"
Mornington (S),729,805,885,963,"1,038","1,120","1,101","1,061","1,003","1,002",991,999,"1,046","1,054","1,067","1,082","1,119","1,120","1,158","1,184","1,220","1,218","1,206","1,203","1,203","1,196"
Mount Isa (C),"24,507","24,245","23,800","23,221","22,550","22,226","21,836","21,480","21,097","20,892","20,743","20,276","19,997","19,908","20,153","20,374","20,711","21,381","21,607","21,830","22,079","21,906","21,713","21,109","20,384","19,332"
Murweh (S),"5,803","5,648","5,473","5,286","5,064","4,944","4,902","4,862","4,846","4,879","4,936","4,892","4,848","4,803","4,774","4,692","4,665","4,668","4,699","4,714","4,731","4,738","4,687","4,645","4,534","4,391"
Napranum (S),669,686,701,710,720,748,756,765,777,776,785,799,819,836,856,876,881,890,901,910,908,923,928,948,970,"1,001"
Noosa (S),"24,477","26,073","27,775","30,125","32,493","34,552","36,016","37,473","38,797","40,201","43,496","44,893","46,063","47,183","47,635","48,082","48,595","49,600","50,315","50,770","51,038","51,703","52,407","53,085","53,629","54,033"
North Burnett (R),"11,487","11,448","11,356","11,319","11,155","11,111","10,967","10,780","10,619","10,458","10,450","10,408","10,415","10,445","10,403","10,378","10,322","10,335","10,377","10,358","10,374","10,404","10,478","10,539","10,597","10,623"
Northern Peninsula Area (R),"1,744","1,779","1,808","1,833","1,861","1,908","1,935","1,961","1,978","2,018","2,055","2,058","2,069","2,074","2,070","2,063","2,168","2,234","2,273","2,391","2,463","2,548","2,623","2,746","2,844","2,952"
Palm Island (S),"2,134","2,130","2,122","2,112","2,105","2,115","2,125","2,141","2,180","2,235","2,269","2,249","2,202","2,155","2,103","2,070","2,162","2,265","2,333","2,430","2,538","2,543","2,537","2,541","2,569","2,602"
Paroo (S),"2,667","2,608","2,566","2,476","2,355","2,291","2,268","2,237","2,217","2,190","2,172","2,127","2,106","2,075","2,042","1,991","1,946","1,921","1,909","1,924","1,937","1,907","1,856","1,819","1,749","1,686"
Pormpuraaw (S),526,527,530,533,534,535,552,568,589,595,618,622,622,623,623,621,647,662,673,691,715,730,737,748,765,785
Quilpie (S),"1,397","1,374","1,353","1,318","1,294","1,274","1,233","1,201","1,172","1,132","1,086","1,064","1,045","1,025","1,019","1,012",994,992,996,"1,003","1,007",985,947,921,876,833
Redland (C),"82,818","86,984","91,010","94,624","98,235","101,723","104,166","106,201","109,034","112,409","115,832","118,870","122,994","126,010","128,654","130,760","133,596","136,771","139,859","141,552","143,711","145,685","147,242","148,777","150,041","151,987"
Richmond (S),"1,204","1,189","1,176","1,159","1,131","1,120","1,117","1,108","1,104","1,111","1,128","1,090","1,062","1,007",975,935,908,895,898,873,847,841,837,835,815,800
Rockhampton (R),"71,626","71,659","72,149","72,500","72,098","72,032","71,716","71,491","71,143","70,724","70,480","70,909","71,499","72,420","73,185","74,204","75,195","76,272","77,448","78,193","78,939","80,617","81,854","82,342","82,301","81,589"
Scenic Rim (R),"24,590","25,318","26,172","26,690","27,173","27,639","28,127","28,587","28,922","29,460","30,030","30,715","31,930","32,749","33,560","34,231","34,983","35,578","36,525","37,167","37,437","37,967","38,731","39,898","40,331","40,975"
Somerset (R),"15,527","15,682","16,057","16,303","16,545","16,833","17,080","17,310","17,548","17,739","17,866","18,117","18,361","18,609","19,085","19,608","19,919","20,366","21,071","21,717","22,200","22,767","23,628","24,484","24,715","25,173"
South Burnett (R),"25,494","25,882","26,500","26,880","26,896","26,904","27,064","27,133","27,202","27,289","27,651","27,942","28,251","28,630","29,050","29,699","30,114","30,583","31,173","31,518","31,803","32,367","32,699","32,697","32,712","32,747"
Southern Downs (R),"29,813","30,143","30,465","30,644","30,408","30,270","30,338","30,461","30,616","30,846","31,064","31,361","31,593","31,729","32,010","32,411","32,933","33,451","33,976","34,313","34,649","35,013","35,496","35,589","35,580","35,622"
Sunshine Coast (R),"136,825","144,660","153,050","161,265","168,651","174,155","180,025","185,625","190,681","195,773","198,931","205,772","214,931","223,143","230,168","236,654","243,309","250,800","258,047","263,053","267,241","274,966","282,203","289,133","295,983","303,389"
Tablelands (R),"19,808","20,182","20,557","20,786","21,098","21,496","21,616","21,720","21,688","21,788","21,894","22,201","22,502","22,699","22,861","23,228","23,553","23,885","24,103","24,230","24,372","24,625","24,867","25,130","25,206","25,312"
Toowoomba (R),"122,774","124,527","126,390","127,292","127,386","128,118","129,126","130,270","131,428","133,126","134,955","136,619","138,528","140,827","143,791","145,992","147,927","150,140","152,525","154,222","155,473","157,986","160,096","161,865","163,243","164,595"
Torres (S),"2,940","2,956","2,976","3,005","3,031","3,062","3,127","3,205","3,304","3,424","3,531","3,560","3,544","3,512","3,481","3,373","3,418","3,457","3,481","3,485","3,477","3,565","3,643","3,713","3,748","3,789"
Torres Strait Island (R),"3,419","3,443","3,494","3,539","3,587","3,636","3,746","3,863","3,979","4,108","4,244","4,314","4,387","4,400","4,485","4,548","4,577","4,606","4,609","4,600","4,578","4,601","4,618","4,699","4,743","4,785"
Townsville (C),"121,576","123,260","126,142","128,112","129,787","131,018","132,116","133,821","136,392","139,411","142,012","145,115","147,964","151,172","155,330","159,482","163,509","168,503","173,067","176,528","180,114","183,771","186,808","189,304","190,726","192,058"
